Job_ID,Job_Title,Job_Family,Job_Subfamily,Career_Track,Band,Band_Number,Grade,FLSA_Classification,EEO_Category,Pay_Range_Min_USD,Pay_Range_Mid_USD,Pay_Range_Max_USD,Bonus_Target_Pct,Equity_Eligible,Remote_Eligible,Span_Of_Control_Min,Span_Of_Control_Max,Typical_Years_In_Role,Succession_Critical,External_Benchmark_Source,Market_Positioning,Headcount_Current,Headcount_Target,Open_Requisitions,Last_Reviewed_Date,Job_Architecture_Version
JOB-2000,Software Engineer,Engineering,Engineering - Specialist,Individual Contributor,Band 1 - Entry,1,G1A,Non-Exempt,Administrative Support,45000,55000,65000,10,Yes,Yes,0,0,2,Yes,Willis Towers Watson,75th Percentile,197,544,21,2025-12-25,JA-2026.1
JOB-2001,Senior Software Engineer,Engineering,Engineering - Operations,Individual Contributor,Band 2 - Junior,2,G2B,Exempt,Technicians,60000,72500,85000,30,Yes,Hybrid,0,0,4,Yes,Mercer,65th Percentile,339,184,27,2025-10-18,JA-2026.1
JOB-2002,Staff Engineer,Engineering,Engineering - Specialist,Technical Specialist,Band 3 - Mid,3,G3A,Exempt,Administrative Support,80000,97500,115000,5,No,Hybrid,0,0,4,Yes,Willis Towers Watson,75th Percentile,4,436,6,2025-07-05,JA-2026.1
JOB-2003,Principal Engineer,Engineering,Engineering - Operations,Technical Specialist,Band 4 - Senior,4,G4A,Exempt,Officials & Managers,110000,132500,155000,15,No,Yes,0,0,3,Yes,Mercer,75th Percentile,83,453,19,2025-04-01,JA-2026.1
JOB-2004,Distinguished Engineer,Engineering,Engineering - Operations,Technical Specialist,Band 5 - Lead,5,G5C,Exempt,Technicians,145000,172500,200000,0,Yes,Yes,0,0,1,Yes,Aon Hewitt,75th Percentile,420,430,2,2025-08-06,JA-2026.1
JOB-2005,Engineering Manager,Engineering,Engineering - Operations,Management,Band 6 - Principal,6,G6A,Exempt,Technicians,190000,230000,270000,20,Yes,Yes,6,13,2,No,Mercer,50th Percentile,328,217,14,2025-05-12,JA-2026.1
JOB-2006,Senior Engineering Manager,Engineering,Engineering - Operations,Management,Band 7 - Director,7,G7B,Exempt,Technicians,250000,315000,380000,25,Yes,No,3,10,6,Yes,Culpepper,75th Percentile,78,419,3,2025-02-19,JA-2026.1
JOB-2007,Director of Engineering,Engineering,Engineering - Core,Executive,Band 8 - VP,8,G8A,Exempt,Managers,350000,450000,550000,10,Yes,Yes,6,10,2,Yes,Culpepper,65th Percentile,395,512,25,2025-04-30,JA-2026.1
JOB-2008,VP Engineering,Engineering,Engineering - Specialist,Executive,Band 9 - SVP/C-Suite,9,G9A,Exempt,Managers,500000,850000,1200000,10,Yes,Yes,5,8,5,Yes,Radford,65th Percentile,111,387,12,2025-06-22,JA-2026.1
JOB-2009,SVP Engineering,Engineering,Engineering - Specialist,Executive,Band 9 - SVP/C-Suite,9,G9B,Exempt,Officials & Managers,500000,850000,1200000,25,Yes,Yes,4,8,3,Yes,Aon Hewitt,65th Percentile,118,319,27,2025-12-02,JA-2026.1
JOB-2010,Data Analyst,Data Science,Data Science - Operations,Individual Contributor,Band 1 - Entry,1,G1C,Exempt,Managers,45000,55000,65000,5,No,Yes,0,0,6,Yes,Aon Hewitt,65th Percentile,225,83,28,2025-08-13,JA-2026.1
JOB-2011,Senior Data Analyst,Data Science,Data Science - Specialist,Individual Contributor,Band 2 - Junior,2,G2A,Non-Exempt,Administrative Support,60000,72500,85000,20,No,No,0,0,5,Yes,Willis Towers Watson,65th Percentile,452,298,13,2025-12-04,JA-2026.1
JOB-2012,Data Scientist,Data Science,Data Science - Operations,Individual Contributor,Band 3 - Mid,3,G3A,Exempt,Managers,80000,97500,115000,30,No,Yes,0,0,4,No,Mercer,65th Percentile,3,364,22,2025-06-01,JA-2026.1
JOB-2013,Senior Data Scientist,Data Science,Data Science - Core,Individual Contributor,Band 4 - Senior,4,G4C,Exempt,Technicians,110000,132500,155000,20,No,Yes,0,0,4,No,Aon Hewitt,50th Percentile,58,514,17,2025-04-14,JA-2026.1
JOB-2014,Lead Data Scientist,Data Science,Data Science - Core,Technical Specialist,Band 5 - Lead,5,G5C,Exempt,Managers,145000,172500,200000,10,Yes,No,0,0,2,No,Aon Hewitt,65th Percentile,287,544,20,2025-11-14,JA-2026.1
JOB-2015,Principal Data Scientist,Data Science,Data Science - Operations,Technical Specialist,Band 6 - Principal,6,G6C,Exempt,Managers,190000,230000,270000,15,Yes,Yes,0,0,1,No,Radford,75th Percentile,17,60,13,2025-06-03,JA-2026.1
JOB-2016,Analytics Manager,Data Science,Data Science - Specialist,Management,Band 7 - Director,7,G7C,Exempt,Administrative Support,250000,315000,380000,20,Yes,Yes,3,20,4,Yes,Aon Hewitt,50th Percentile,136,472,10,2025-03-07,JA-2026.1
JOB-2017,Director of Analytics,Data Science,Data Science - Core,Executive,Band 8 - VP,8,G8B,Exempt,Officials & Managers,350000,450000,550000,30,Yes,Yes,5,12,2,Yes,Willis Towers Watson,65th Percentile,294,392,5,2025-09-03,JA-2026.1
JOB-2018,VP Data & Analytics,Data Science,Data Science - Operations,Executive,Band 9 - SVP/C-Suite,9,G9C,Exempt,Officials & Managers,500000,850000,1200000,10,Yes,Yes,4,15,5,Yes,Radford,50th Percentile,169,506,2,2025-06-21,JA-2026.1
JOB-2019,Chief Data Officer,Data Science,Data Science - Operations,Executive,Band 9 - SVP/C-Suite,9,G9C,Exempt,Professionals,500000,850000,1200000,20,Yes,Yes,5,14,3,Yes,Mercer,50th Percentile,302,49,12,2025-01-19,JA-2026.1
JOB-2020,HR Coordinator,People & HR,People & HR - Specialist,Individual Contributor,Band 1 - Entry,1,G1C,Exempt,Technicians,45000,55000,65000,20,Yes,No,0,0,1,No,Mercer,50th Percentile,60,497,5,2025-05-20,JA-2026.1
JOB-2021,HR Business Partner,People & HR,People & HR - Operations,Individual Contributor,Band 2 - Junior,2,G2B,Non-Exempt,Professionals,60000,72500,85000,15,Yes,Hybrid,0,0,6,Yes,Radford,75th Percentile,65,141,4,2025-10-07,JA-2026.1
JOB-2022,Senior HRBP,People & HR,People & HR - Core,Individual Contributor,Band 3 - Mid,3,G3A,Exempt,Administrative Support,80000,97500,115000,30,Yes,Hybrid,0,0,6,Yes,Culpepper,75th Percentile,390,165,10,2025-01-28,JA-2026.1
JOB-2023,Principal HRBP,People & HR,People & HR - Specialist,Technical Specialist,Band 4 - Senior,4,G4C,Exempt,Officials & Managers,110000,132500,155000,15,No,Yes,0,0,6,Yes,Mercer,65th Percentile,330,534,23,2025-01-07,JA-2026.1
JOB-2024,HR Manager,People & HR,People & HR - Core,Management,Band 5 - Lead,5,G5B,Exempt,Professionals,145000,172500,200000,15,Yes,No,3,10,2,No,Willis Towers Watson,65th Percentile,161,47,18,2025-07-23,JA-2026.1
JOB-2025,Senior HR Manager,People & HR,People & HR - Core,Management,Band 6 - Principal,6,G6B,Exempt,Technicians,190000,230000,270000,10,Yes,Yes,5,20,5,No,Willis Towers Watson,50th Percentile,253,438,25,2025-02-07,JA-2026.1
JOB-2026,Director HR,People & HR,People & HR - Core,Management,Band 7 - Director,7,G7B,Exempt,Technicians,250000,315000,380000,25,Yes,Hybrid,5,20,1,Yes,Aon Hewitt,65th Percentile,313,233,17,2025-03-19,JA-2026.1
JOB-2027,VP People,People & HR,People & HR - Operations,Executive,Band 8 - VP,8,G8C,Exempt,Professionals,350000,450000,550000,20,Yes,No,6,16,6,Yes,Mercer,50th Percentile,269,417,1,2025-04-19,JA-2026.1
JOB-2028,Chief People Officer,People & HR,People & HR - Core,Executive,Band 9 - SVP/C-Suite,9,G9C,Exempt,Managers,500000,850000,1200000,10,Yes,Yes,6,8,5,Yes,Radford,50th Percentile,68,185,20,2025-06-03,JA-2026.1
JOB-2029,Talent Acquisition Specialist,People & HR,People & HR - Core,Executive,Band 9 - SVP/C-Suite,9,G9B,Exempt,Technicians,500000,850000,1200000,30,Yes,Yes,3,18,1,Yes,Culpepper,65th Percentile,480,457,2,2025-03-26,JA-2026.1
JOB-2030,Financial Analyst,Finance,Finance - Specialist,Individual Contributor,Band 1 - Entry,1,G1B,Exempt,Technicians,45000,55000,65000,40,Yes,Hybrid,0,0,5,Yes,Mercer,75th Percentile,294,497,6,2025-02-21,JA-2026.1
JOB-2031,Senior Financial Analyst,Finance,Finance - Operations,Individual Contributor,Band 2 - Junior,2,G2A,Non-Exempt,Technicians,60000,72500,85000,10,No,Yes,0,0,2,No,Mercer,75th Percentile,265,517,29,2025-10-06,JA-2026.1
JOB-2032,Finance Manager,Finance,Finance - Core,Management,Band 3 - Mid,3,G3A,Exempt,Technicians,80000,97500,115000,15,No,No,3,11,3,No,Culpepper,65th Percentile,254,194,3,2025-11-18,JA-2026.1
JOB-2033,Senior Finance Manager,Finance,Finance - Core,Management,Band 4 - Senior,4,G4A,Exempt,Officials & Managers,110000,132500,155000,0,No,Yes,3,18,3,Yes,Willis Towers Watson,75th Percentile,131,11,18,2025-09-29,JA-2026.1
JOB-2034,Director Finance,Finance,Finance - Specialist,Management,Band 5 - Lead,5,G5A,Exempt,Managers,145000,172500,200000,5,Yes,Yes,5,14,2,No,Culpepper,65th Percentile,102,464,1,2025-01-14,JA-2026.1
JOB-2035,VP Finance,Finance,Finance - Specialist,Management,Band 6 - Principal,6,G6A,Exempt,Technicians,190000,230000,270000,5,Yes,No,3,13,3,No,Mercer,75th Percentile,79,76,0,2025-01-15,JA-2026.1
JOB-2036,SVP Finance,Finance,Finance - Core,Management,Band 7 - Director,7,G7A,Exempt,Technicians,250000,315000,380000,25,Yes,Hybrid,3,18,1,Yes,Aon Hewitt,50th Percentile,337,447,2,2025-12-21,JA-2026.1
JOB-2037,CFO,Finance,Finance - Operations,Executive,Band 8 - VP,8,G8B,Exempt,Officials & Managers,350000,450000,550000,30,Yes,No,5,13,6,Yes,Willis Towers Watson,50th Percentile,140,544,7,2025-02-02,JA-2026.1
JOB-2038,Controller,Finance,Finance - Core,Executive,Band 9 - SVP/C-Suite,9,G9A,Exempt,Managers,500000,850000,1200000,25,Yes,Yes,5,12,5,Yes,Culpepper,50th Percentile,109,453,21,2025-08-16,JA-2026.1
JOB-2039,FP&A Analyst,Finance,Finance - Operations,Executive,Band 9 - SVP/C-Suite,9,G9A,Exempt,Administrative Support,500000,850000,1200000,20,Yes,Yes,6,9,6,Yes,Radford,65th Percentile,254,453,13,2025-06-14,JA-2026.1
JOB-2040,Marketing Coordinator,Marketing,Marketing - Operations,Individual Contributor,Band 1 - Entry,1,G1C,Exempt,Administrative Support,45000,55000,65000,5,No,No,0,0,2,Yes,Culpepper,65th Percentile,233,502,10,2025-11-01,JA-2026.1
JOB-2041,Marketing Specialist,Marketing,Marketing - Operations,Individual Contributor,Band 2 - Junior,2,G2A,Exempt,Professionals,60000,72500,85000,5,Yes,No,0,0,2,No,Culpepper,75th Percentile,10,21,3,2025-06-14,JA-2026.1
