record_id,employee_id,review_year,review_cycle,department,job_level,performance_rating,potential_rating,nine_box_position,succession_ready,flight_risk,promotion_recommended,goal_completion_pct,competency_score,development_plan_active,mentor_assigned,manager_id,review_date
TM00001,EMP00557,2026,Mid-Year,Engineering,L6,Does Not Meet,Medium,Rough Diamond,Ready in 3+ Years,Low,No,62,2.46,No,Yes,MGR0001,2020-05-05
TM00002,EMP00305,2021,Q3,IT,L3,Exceeds,Medium,Inconsistent Player,Ready in 3+ Years,Low,No,57,3.02,Yes,No,MGR0049,2020-11-07
TM00003,EMP01126,2026,Mid-Year,Marketing,L1,Partially Meets,High,Underperformer,Ready in 1-2 Years,Medium,No,67,1.03,No,Yes,MGR0042,2020-06-13
TM00004,EMP00604,2024,Mid-Year,Customer Success,L2,Meets,High,Rough Diamond,Ready in 1-2 Years,Medium,No,70,3.59,Yes,No,MGR0018,2025-08-01
TM00005,EMP00053,2021,Annual,HR,L2,Meets,High,Solid Contributor,Not Identified,High,No,87,4.83,Yes,Yes,MGR0027,2023-06-16
TM00006,EMP01026,2026,Annual,Legal,L3,Meets,Low,Trusted Professional,Ready in 3+ Years,Low,Yes,58,3.45,No,No,MGR0045,2023-08-31
TM00007,EMP00231,2024,Annual,Operations,L5,Meets,High,Solid Contributor,Not Identified,High,No,74,1.8,No,Yes,MGR0032,2022-08-24
TM00008,EMP00477,2025,Annual,Customer Success,L7,Does Not Meet,Medium,Inconsistent Player,Not Identified,Low,No,65,1.87,No,Yes,MGR0037,2025-04-24
TM00009,EMP00500,2026,Mid-Year,Marketing,L6,Meets,Low,Inconsistent Player,Ready in 1-2 Years,Low,Yes,75,3.3,No,No,MGR0016,2023-07-14
TM00010,EMP01060,2024,Annual,Marketing,L3,Meets,Medium,Core Player,Ready in 1-2 Years,Low,Yes,100,2.57,No,No,MGR0036,2022-06-12
TM00011,EMP00833,2026,Q3,Customer Success,L6,Partially Meets,Low,High Potential,Not Identified,Low,No,57,1.59,Yes,Yes,MGR0007,2024-02-03
TM00012,EMP00418,2023,Annual,Legal,L2,Partially Meets,High,Underperformer,Ready in 3+ Years,Low,No,76,3.84,Yes,No,MGR0018,2025-11-30
TM00013,EMP00570,2021,Mid-Year,Design,L5,Partially Meets,High,Question Mark,Ready in 3+ Years,High,No,57,1.9,Yes,Yes,MGR0023,2020-12-31
TM00014,EMP00132,2022,Annual,Sales,L6,Exceeds,High,Core Player,Ready Now,Low,Yes,92,2.21,No,Yes,MGR0043,2025-10-09
TM00015,EMP00209,2023,Q1,Operations,L5,Exceeds,Low,Trusted Professional,Ready Now,High,No,94,1.91,No,No,MGR0007,2026-02-01
TM00016,EMP01006,2026,Mid-Year,Legal,L2,Meets,Low,Question Mark,Ready in 3+ Years,Low,No,73,4.36,Yes,No,MGR0032,2026-06-29
TM00017,EMP01142,2021,Q1,Customer Success,L7,Meets,Medium,Solid Contributor,Ready in 1-2 Years,Medium,Yes,73,1.17,Yes,No,MGR0002,2024-09-06
TM00018,EMP00287,2023,Q1,Data Science,L5,Partially Meets,Medium,Solid Contributor,Not Identified,Low,Yes,87,1.71,Yes,No,MGR0026,2020-04-01
TM00019,EMP00901,2023,Q1,Operations,L7,Meets,Low,Solid Contributor,Ready in 3+ Years,Medium,Yes,93,3.74,Yes,No,MGR0025,2022-10-11
TM00020,EMP00189,2020,Q3,Marketing,L7,Meets,High,Underperformer,Ready in 1-2 Years,Medium,No,98,3.24,Yes,Yes,MGR0035,2024-12-26
TM00021,EMP01198,2021,Q3,Operations,L5,Meets,Low,Solid Contributor,Ready in 1-2 Years,Low,No,56,1.87,No,No,MGR0010,2025-05-05
TM00022,EMP00967,2020,Mid-Year,Customer Success,L5,Meets,Medium,Solid Contributor,Ready in 3+ Years,Low,Yes,78,3.34,No,Yes,MGR0040,2020-04-05
TM00023,EMP00561,2020,Annual,Marketing,L2,Partially Meets,Medium,Rough Diamond,Ready in 1-2 Years,Low,Yes,74,3.29,No,Yes,MGR0047,2022-05-19
TM00024,EMP00814,2026,Q1,Product,L3,Exceeds,Low,Underperformer,Ready in 3+ Years,High,No,80,2.26,Yes,No,MGR0001,2020-01-26
TM00025,EMP00747,2023,Annual,Finance,L7,Partially Meets,Low,Solid Contributor,Ready Now,Medium,No,80,3.92,Yes,No,MGR0046,2023-08-15
TM00026,EMP00741,2023,Q3,Customer Success,L3,Partially Meets,Medium,High Potential,Not Identified,Low,No,98,4.14,Yes,No,MGR0019,2022-08-29
TM00027,EMP00168,2023,Q3,Finance,L6,Exceeds,Medium,Trusted Professional,Not Identified,Low,No,94,2.11,No,Yes,MGR0045,2025-04-15
TM00028,EMP00212,2025,Q3,Engineering,L1,Does Not Meet,High,Question Mark,Ready in 3+ Years,Medium,No,97,3.14,No,Yes,MGR0001,2023-10-09
TM00029,EMP00854,2025,Q3,Engineering,L7,Partially Meets,Low,Rough Diamond,Ready Now,Medium,No,98,4.82,Yes,Yes,MGR0003,2020-07-12
TM00030,EMP00388,2022,Annual,Operations,L2,Partially Meets,Medium,High Potential,Ready Now,Medium,Yes,65,1.8,Yes,No,MGR0016,2025-02-19
TM00031,EMP00113,2020,Annual,Customer Success,L4,Meets,High,Solid Contributor,Ready in 3+ Years,High,No,96,2.67,Yes,Yes,MGR0028,2025-11-23
TM00032,EMP00546,2022,Q3,Sales,L7,Does Not Meet,Low,Question Mark,Ready in 1-2 Years,High,No,59,4.46,No,No,MGR0033,2024-12-04
TM00033,EMP00064,2026,Mid-Year,Customer Success,L2,Meets,High,Rough Diamond,Ready in 3+ Years,Low,No,59,1.09,Yes,No,MGR0034,2021-06-15
TM00034,EMP00479,2020,Mid-Year,Operations,L1,Meets,Medium,Core Player,Not Identified,High,No,95,2.19,No,Yes,MGR0013,2020-09-11
TM00035,EMP00592,2022,Annual,Customer Success,L3,Exceeds,Medium,Core Player,Ready Now,Medium,No,91,3.68,Yes,No,MGR0028,2020-03-02
TM00036,EMP00740,2022,Q3,Legal,L3,Does Not Meet,Medium,Trusted Professional,Ready in 3+ Years,Low,No,76,1.71,No,Yes,MGR0046,2022-10-07
TM00037,EMP01046,2023,Q3,HR,L4,Exceeds,Low,High Potential,Ready Now,Low,No,100,1.48,No,Yes,MGR0009,2023-03-08
TM00038,EMP00622,2025,Annual,Product,L2,Meets,Medium,Underperformer,Ready Now,Low,No,85,4.24,No,Yes,MGR0008,2024-09-20
TM00039,EMP00372,2024,Annual,IT,L1,Exceeds,High,Star,Ready in 1-2 Years,Low,No,87,3.72,Yes,Yes,MGR0039,2026-01-31
TM00040,EMP00062,2023,Mid-Year,IT,L3,Does Not Meet,Low,Inconsistent Player,Ready in 3+ Years,High,No,88,1.15,Yes,No,MGR0043,2026-07-14
TM00041,EMP00135,2024,Q3,Marketing,L7,Does Not Meet,Medium,Star,Ready in 1-2 Years,Low,No,53,3.7,Yes,Yes,MGR0011,2025-04-29
TM00042,EMP00517,2023,Q1,Data Science,L7,Meets,Low,Solid Contributor,Ready in 3+ Years,Medium,No,70,2.96,Yes,Yes,MGR0020,2022-10-21
TM00043,EMP00214,2022,Q1,HR,L5,Meets,High,Inconsistent Player,Ready in 1-2 Years,High,No,95,4.54,Yes,Yes,MGR0036,2021-06-20
TM00044,EMP01053,2026,Mid-Year,Marketing,L4,Partially Meets,High,Inconsistent Player,Ready in 3+ Years,Low,Yes,54,3.39,No,Yes,MGR0027,2024-04-21
TM00045,EMP00580,2023,Q1,Legal,L2,Does Not Meet,Medium,Trusted Professional,Ready in 1-2 Years,Medium,No,71,4.78,Yes,Yes,MGR0035,2021-02-06
TM00046,EMP00600,2026,Q1,Design,L7,Partially Meets,Low,Star,Ready in 3+ Years,Medium,No,75,1.8,No,No,MGR0007,2022-11-19
TM00047,EMP01133,2025,Annual,Sales,L7,Partially Meets,Medium,Core Player,Ready Now,Low,No,73,2.04,No,No,MGR0002,2024-10-29
TM00048,EMP00299,2021,Q1,Legal,L6,Meets,High,Question Mark,Ready Now,Low,No,57,4.36,Yes,Yes,MGR0046,2020-07-30
TM00049,EMP00651,2022,Mid-Year,Operations,L6,Exceeds,High,Solid Contributor,Ready Now,Medium,No,87,3.52,Yes,Yes,MGR0040,2020-04-02
TM00050,EMP00121,2025,Annual,Product,L4,Does Not Meet,Medium,Trusted Professional,Ready in 3+ Years,High,No,82,3.36,Yes,Yes,MGR0050,2021-02-21
TM00051,EMP00889,2026,Q3,Engineering,L2,Does Not Meet,High,Question Mark,Not Identified,Low,No,76,2.1,Yes,No,MGR0008,2025-03-07
TM00052,EMP00107,2020,Q3,Engineering,L3,Exceeds,High,Underperformer,Ready Now,High,No,84,4.1,Yes,Yes,MGR0045,2023-09-21
TM00053,EMP00045,2025,Q3,Legal,L4,Exceeds,High,Question Mark,Not Identified,High,Yes,82,1.52,Yes,No,MGR0020,2022-11-10
TM00054,EMP00579,2023,Mid-Year,Marketing,L6,Meets,High,Solid Contributor,Ready in 3+ Years,Low,No,60,1.37,Yes,Yes,MGR0048,2024-08-05
TM00055,EMP01169,2021,Annual,Sales,L4,Does Not Meet,Medium,Solid Contributor,Ready Now,Low,Yes,87,3.35,No,No,MGR0021,2023-07-31
TM00056,EMP00212,2023,Annual,Finance,L3,Exceeds,High,Question Mark,Ready in 1-2 Years,Low,No,90,2.62,Yes,Yes,MGR0047,2021-05-04
TM00057,EMP00097,2020,Q3,Legal,L4,Exceeds,High,Solid Contributor,Ready Now,Medium,No,54,2.38,Yes,No,MGR0026,2021-03-11
TM00058,EMP00011,2021,Mid-Year,Finance,L5,Exceeds,High,Star,Ready in 1-2 Years,Medium,No,90,2.36,Yes,Yes,MGR0041,2020-12-05
TM00059,EMP00635,2025,Mid-Year,Marketing,L1,Partially Meets,Medium,Trusted Professional,Ready Now,High,No,97,3.96,No,Yes,MGR0013,2025-05-02
TM00060,EMP00909,2025,Q1,HR,L7,Partially Meets,Low,High Potential,Ready Now,Low,No,89,4.6,Yes,No,MGR0034,2024-05-04
TM00061,EMP01009,2026,Mid-Year,IT,L4,Exceeds,High,Core Player,Ready Now,Low,No,70,1.2,No,Yes,MGR0018,2020-10-31
TM00062,EMP00192,2026,Annual,Marketing,L1,Does Not Meet,Low,High Potential,Ready in 1-2 Years,High,No,72,2.24,No,Yes,MGR0042,2022-01-23
TM00063,EMP00579,2021,Mid-Year,Marketing,L1,Meets,Medium,Underperformer,Ready in 3+ Years,Medium,No,94,2.1,Yes,Yes,MGR0012,2023-08-04
TM00064,EMP00956,2024,Annual,Engineering,L3,Exceeds,Low,Trusted Professional,Ready in 3+ Years,High,Yes,75,3.51,No,Yes,MGR0016,2020-09-01
TM00065,EMP00824,2024,Mid-Year,Operations,L1,Exceeds,Medium,Inconsistent Player,Ready in 3+ Years,High,No,63,2.15,Yes,No,MGR0028,2022-05-26
TM00066,EMP00585,2020,Q1,Finance,L6,Exceeds,Low,Question Mark,Not Identified,High,No,67,2.47,No,Yes,MGR0032,2025-05-09
TM00067,EMP00079,2020,Q3,Sales,L6,Meets,High,Inconsistent Player,Ready Now,High,No,62,2.19,No,Yes,MGR0012,2026-03-25
TM00068,EMP00337,2023,Mid-Year,Data Science,L7,Meets,Medium,Core Player,Ready Now,Low,No,87,2.87,No,No,MGR0009,2026-06-06
TM00069,EMP00958,2024,Q1,Engineering,L4,Does Not Meet,Low,Star,Ready in 3+ Years,Low,No,72,1.63,Yes,Yes,MGR0014,2022-04-05
TM00070,EMP00041,2020,Mid-Year,HR,L2,Does Not Meet,High,Star,Ready Now,High,No,67,3.46,No,Yes,MGR0041,2023-07-05
TM00071,EMP01038,2021,Mid-Year,Sales,L7,Meets,High,Underperformer,Ready Now,High,Yes,85,3.16,Yes,No,MGR0004,2023-12-23
