interaction_id,employee_id,department,customer_id,interaction_date,channel,product_service,csat_score,nps_score,resolution_time_hrs,first_contact_resolution,escalated,sentiment,feedback_category,region,repeat_contact
INT00001,EMP00075,Sales,CUST28022,2022-07-24,Chat,Enterprise Plan,1.3,1,3.9,Yes,No,Positive,Accuracy,North America,Yes
INT00002,EMP00674,Operations,CUST75851,2025-08-06,Chat,Starter Plan,4.2,10,38.9,Yes,No,Negative,Courtesy,North America,No
INT00003,EMP00624,Customer Success,CUST91898,2025-03-15,In-Person,Enterprise Plan,4.2,1,35.0,Yes,Yes,Negative,Speed,North America,Yes
INT00004,EMP00713,Support,CUST37394,2026-02-07,Phone,Service Package 1,3.8,0,5.7,Yes,Yes,Positive,Courtesy,EMEA,Yes
INT00005,EMP00833,Support,CUST97099,2023-12-14,In-Person,Product B,3.6,0,45.4,Yes,No,Negative,Knowledge,EMEA,No
INT00006,EMP00754,Sales,CUST94950,2025-11-13,Self-Service Portal,Product B,3.4,2,26.9,Yes,Yes,Negative,Courtesy,LATAM,No
INT00007,EMP00844,Operations,CUST91114,2026-01-07,Phone,Service Package 1,2.8,1,64.3,Yes,No,Negative,Courtesy,APAC,No
INT00008,EMP00039,Customer Success,CUST39921,2022-02-14,Chat,Enterprise Plan,2.8,5,57.5,Yes,No,Neutral,Follow-Up,LATAM,Yes
INT00009,EMP00939,Sales,CUST12142,2024-03-22,Self-Service Portal,Service Package 1,4.5,8,34.1,No,Yes,Negative,Accuracy,North America,No
INT00010,EMP00280,Sales,CUST81187,2025-12-07,Chat,Product C,1.2,0,10.3,Yes,No,Neutral,Follow-Up,APAC,No
INT00011,EMP00125,Customer Success,CUST51846,2026-06-20,In-Person,Starter Plan,3.6,2,24.7,Yes,Yes,Negative,Speed,LATAM,Yes
INT00012,EMP00595,Support,CUST94526,2026-03-13,Self-Service Portal,Enterprise Plan,1.7,7,39.6,Yes,No,Positive,Courtesy,LATAM,No
INT00013,EMP00945,Customer Success,CUST73404,2022-10-26,Self-Service Portal,Product A,1.7,9,37.0,Yes,No,Positive,Courtesy,APAC,Yes
INT00014,EMP00394,Support,CUST37313,2022-02-12,Self-Service Portal,Starter Plan,1.6,9,32.7,Yes,No,Positive,Speed,EMEA,Yes
INT00015,EMP01031,Support,CUST30021,2022-03-30,Chat,Service Package 1,2.0,9,37.7,Yes,No,Neutral,Speed,APAC,No
INT00016,EMP00734,Operations,CUST56721,2026-02-12,Self-Service Portal,Product C,1.3,7,53.8,Yes,No,Positive,Courtesy,APAC,No
INT00017,EMP00617,Sales,CUST99953,2022-02-05,Self-Service Portal,Product C,2.1,5,19.5,Yes,No,Negative,Accuracy,North America,Yes
INT00018,EMP00928,Support,CUST86502,2023-08-25,Chat,Product B,1.7,8,17.1,Yes,No,Neutral,Accuracy,LATAM,No
INT00019,EMP00841,Sales,CUST10460,2023-07-24,Self-Service Portal,Product C,4.3,5,1.8,Yes,No,Negative,Knowledge,APAC,Yes
INT00020,EMP00890,Sales,CUST81608,2025-02-06,Email,Enterprise Plan,3.7,1,1.1,Yes,No,Neutral,Speed,EMEA,Yes
INT00021,EMP00247,Support,CUST59957,2022-11-23,Email,Product A,4.8,6,70.4,No,No,Neutral,Knowledge,EMEA,No
INT00022,EMP00873,Sales,CUST10060,2022-04-10,Chat,Starter Plan,4.3,3,23.1,Yes,Yes,Neutral,Knowledge,APAC,Yes
INT00023,EMP00939,Support,CUST53190,2026-01-10,In-Person,Enterprise Plan,2.1,1,19.1,No,No,Positive,Courtesy,EMEA,No
INT00024,EMP01034,Sales,CUST99056,2025-06-14,In-Person,Product B,2.5,7,62.7,Yes,Yes,Negative,Knowledge,North America,No
INT00025,EMP00746,Operations,CUST61548,2026-03-19,Chat,Service Package 1,2.6,0,28.7,Yes,No,Neutral,Courtesy,LATAM,Yes
INT00026,EMP00917,Customer Success,CUST21040,2022-04-25,In-Person,Enterprise Plan,4.3,7,41.1,Yes,No,Neutral,Follow-Up,LATAM,Yes
INT00027,EMP00465,Support,CUST47143,2023-02-16,In-Person,Enterprise Plan,4.7,8,65.4,Yes,No,Neutral,Accuracy,EMEA,No
INT00028,EMP00583,Operations,CUST68633,2025-07-15,Chat,Product A,3.0,3,16.2,Yes,No,Negative,Speed,North America,Yes
INT00029,EMP00963,Operations,CUST72634,2024-02-24,Phone,Product C,1.9,5,2.7,Yes,Yes,Neutral,Courtesy,APAC,No
INT00030,EMP01107,Customer Success,CUST92268,2025-10-20,In-Person,Product A,3.0,4,27.6,No,No,Positive,Follow-Up,APAC,No
INT00031,EMP00802,Support,CUST66242,2026-06-25,Phone,Product B,4.4,3,47.6,Yes,No,Negative,Knowledge,LATAM,Yes
INT00032,EMP00295,Operations,CUST22909,2025-06-27,Email,Product A,2.8,6,27.9,Yes,No,Neutral,Knowledge,EMEA,No
INT00033,EMP00115,Operations,CUST99162,2026-05-09,Phone,Service Package 1,4.6,7,49.0,Yes,No,Neutral,Courtesy,LATAM,No
INT00034,EMP00154,Support,CUST70232,2025-12-01,In-Person,Service Package 1,2.4,7,45.3,No,No,Positive,Accuracy,EMEA,No
INT00035,EMP00226,Sales,CUST35660,2023-06-08,Self-Service Portal,Starter Plan,2.0,5,52.4,Yes,No,Negative,Courtesy,North America,No
INT00036,EMP00882,Support,CUST80519,2026-01-10,Email,Service Package 1,1.4,8,45.9,Yes,No,Negative,Knowledge,North America,No
INT00037,EMP00501,Sales,CUST78075,2025-07-30,Phone,Service Package 1,5.0,3,45.5,Yes,No,Neutral,Knowledge,LATAM,Yes
INT00038,EMP00697,Sales,CUST42564,2025-08-18,Phone,Enterprise Plan,4.1,1,43.2,Yes,No,Positive,Knowledge,LATAM,No
INT00039,EMP00375,Support,CUST90980,2025-01-26,Self-Service Portal,Product C,2.7,9,6.3,Yes,No,Positive,Follow-Up,LATAM,No
INT00040,EMP01082,Operations,CUST37906,2025-02-11,Phone,Product C,1.2,4,55.4,Yes,No,Positive,Knowledge,LATAM,No
INT00041,EMP00201,Sales,CUST10468,2024-03-24,Email,Product C,2.1,5,14.0,No,Yes,Negative,Speed,APAC,No
INT00042,EMP00041,Customer Success,CUST51219,2025-08-29,In-Person,Product C,5.0,10,42.0,No,No,Negative,Courtesy,North America,Yes
INT00043,EMP00615,Sales,CUST75758,2024-07-30,Phone,Product B,3.2,9,54.6,No,No,Neutral,Courtesy,APAC,No
INT00044,EMP00551,Support,CUST80965,2026-03-14,Self-Service Portal,Product A,2.4,7,65.3,Yes,Yes,Positive,Follow-Up,APAC,Yes
INT00045,EMP00811,Customer Success,CUST46339,2025-12-04,Chat,Starter Plan,2.8,8,12.4,Yes,No,Negative,Knowledge,LATAM,Yes
INT00046,EMP00890,Sales,CUST16160,2024-01-05,Phone,Product B,3.1,1,29.7,No,No,Positive,Speed,LATAM,Yes
INT00047,EMP00404,Sales,CUST83384,2023-12-23,In-Person,Enterprise Plan,3.5,6,41.2,Yes,No,Positive,Speed,North America,No
INT00048,EMP00070,Sales,CUST45450,2023-02-23,Phone,Service Package 1,1.6,2,14.6,Yes,No,Positive,Speed,EMEA,No
INT00049,EMP00399,Sales,CUST58448,2024-07-04,Phone,Product B,1.1,5,35.1,Yes,Yes,Positive,Follow-Up,LATAM,Yes
INT00050,EMP00779,Sales,CUST79567,2025-06-06,In-Person,Product B,4.2,10,36.9,Yes,No,Neutral,Courtesy,LATAM,No
INT00051,EMP00671,Sales,CUST25622,2025-10-15,Phone,Service Package 1,2.6,9,50.6,No,Yes,Positive,Follow-Up,LATAM,Yes
INT00052,EMP01125,Operations,CUST70931,2023-09-19,Chat,Product B,3.6,5,70.8,Yes,No,Neutral,Knowledge,North America,No
INT00053,EMP00232,Support,CUST95236,2025-08-10,In-Person,Product B,2.0,0,29.4,Yes,Yes,Negative,Speed,EMEA,No
INT00054,EMP00336,Sales,CUST19114,2023-01-04,Email,Product A,1.9,6,35.8,No,No,Neutral,Accuracy,North America,No
INT00055,EMP00177,Operations,CUST87941,2022-03-28,Email,Product C,1.1,4,69.8,Yes,No,Positive,Follow-Up,APAC,No
INT00056,EMP01080,Customer Success,CUST45986,2022-10-07,Chat,Enterprise Plan,2.3,1,45.3,No,No,Negative,Accuracy,North America,Yes
INT00057,EMP00640,Sales,CUST92986,2024-02-13,In-Person,Enterprise Plan,2.4,7,16.9,Yes,No,Neutral,Knowledge,LATAM,No
INT00058,EMP00818,Sales,CUST90706,2023-03-02,Phone,Product A,4.0,3,34.0,Yes,No,Neutral,Courtesy,LATAM,No
INT00059,EMP00476,Support,CUST12209,2024-12-10,Self-Service Portal,Product B,2.5,7,2.3,Yes,No,Neutral,Courtesy,EMEA,No
INT00060,EMP00504,Support,CUST93057,2024-11-14,Self-Service Portal,Service Package 1,3.5,2,7.1,Yes,No,Negative,Speed,APAC,No
INT00061,EMP00933,Support,CUST76965,2025-04-23,Self-Service Portal,Product B,1.0,1,37.6,No,Yes,Negative,Speed,LATAM,No
INT00062,EMP00451,Sales,CUST96457,2025-12-11,Self-Service Portal,Enterprise Plan,4.5,6,32.6,No,Yes,Positive,Courtesy,EMEA,No
INT00063,EMP00082,Sales,CUST88942,2024-04-22,Chat,Product C,3.9,8,63.2,Yes,No,Negative,Accuracy,North America,No
INT00064,EMP00752,Sales,CUST63869,2023-04-19,Chat,Service Package 1,4.2,10,5.8,No,No,Negative,Speed,APAC,No
INT00065,EMP01135,Customer Success,CUST55182,2025-07-14,Chat,Product C,2.4,2,42.2,Yes,No,Neutral,Follow-Up,North America,No
INT00066,EMP01119,Customer Success,CUST83194,2024-07-06,Chat,Product C,3.3,1,46.9,Yes,Yes,Negative,Speed,APAC,No
INT00067,EMP00985,Operations,CUST78229,2024-03-29,Self-Service Portal,Starter Plan,2.0,6,4.8,Yes,Yes,Neutral,Courtesy,LATAM,Yes
INT00068,EMP00533,Customer Success,CUST96757,2024-10-18,Self-Service Portal,Starter Plan,2.8,4,69.5,Yes,Yes,Neutral,Knowledge,LATAM,Yes
INT00069,EMP00266,Operations,CUST33363,2023-07-21,In-Person,Product B,4.7,0,13.1,Yes,No,Negative,Knowledge,APAC,Yes
INT00070,EMP00687,Operations,CUST82304,2024-02-25,In-Person,Service Package 1,2.8,3,30.8,Yes,No,Positive,Speed,North America,No
INT00071,EMP00341,Support,CUST52145,2025-02-24,In-Person,Product A,2.4,4,34.8,Yes,No,Negative,Speed,APAC,Yes
INT00072,EMP00842,Sales,CUST30798,2024-09-11,In-Person,Product B,4.2,8,42.4,Yes,No,Positive,Knowledge,North America,Yes
