Skill_ID,Skill_Name,Skill_Category,Skill_Subcategory,Proficiency_Level_Required,Proficiency_Level_Average_Workforce,Demand_Trend,Criticality_Score,Supply_Gap_Score,Primary_Job_Families,Preferred_Learning_Method,Avg_Time_To_Proficiency_Months,Certification_Available,Certification_Name,Adjacent_Skills,Taxonomy_Version,Last_Updated,Owned_By_Function,Active
SKL-1000,Python,Technical,Core,Foundational,Proficient,Stable,3.01,2.36,Legal & Compliance,Mentoring,3,Yes,Google Cloud Prof.,SQL; Spark; TensorFlow; Databricks,v2.4,2026-03-01,L&D,Yes
SKL-1001,SQL,Technical,Foundational,Developing,Advanced,Decreasing,8.28,-4.94,Product; Operations,Self-Study,6,Yes,CFA,Python; Power BI; Snowflake; dbt,v2.4,2026-01-24,Talent Management,Yes
SKL-1002,Machine Learning,Technical,Specialized,Proficient,Expert,Decreasing,8.26,2.3,Product,On-the-Job,19,No,CFA,Python; TensorFlow; NLP; Statistical Modeling,v2.4,2026-01-12,People Analytics,Yes
SKL-1003,Data Engineering,Technical,Core,Developing,Foundational,Emerging,3.5,1.36,People & HR; Operations; Customer Experience,Formal Training,23,No,Google Cloud Prof.,Spark; Airflow; dbt; SQL; Databricks,v2.4,2026-02-11,Talent Management,No
SKL-1004,Cloud Architecture,Technical,Specialized,Expert,Developing,Decreasing,8.59,2.76,Engineering; Operations,Mentoring,10,Yes,PHR,AWS; Azure; GCP; Kubernetes; DevOps,v2.4,2026-04-12,Talent Management,Yes
SKL-1005,API Development,Technical,Specialized,Developing,Developing,Decreasing,7.72,-0.72,Operations; Finance; People & HR; Marketing,Mentoring,4,Yes,Google Cloud Prof.,SQL; Cloud Architecture; Machine Learning,v2.4,2026-04-19,L&D,No
SKL-1006,DevOps,Technical,Foundational,Expert,Advanced,Decreasing,9.74,3.61,Data Science,Stretch Assignment,19,No,CFA,Python; Machine Learning; Data Engineering,v2.4,2026-02-10,Talent Management,Yes
SKL-1007,Cybersecurity,Technical,Specialized,Expert,Developing,Increasing,8.83,-2.02,People & HR; Operations,External Course,7,Yes,CFA,Data Engineering; Python; API Development,v2.4,2026-04-03,HRBP,Yes
SKL-1008,Tableau,Technical,Core,Developing,Expert,Increasing,1.77,-0.14,Customer Experience,External Course,6,Yes,Databricks Certified,Machine Learning; Cybersecurity; Cloud Architecture,v2.4,2026-06-05,Talent Management,Yes
SKL-1009,Power BI,Technical,Emerging,Proficient,Advanced,Decreasing,4.94,0.18,Finance,Formal Training,4,No,AWS Certified,Tableau; Data Engineering; Cloud Architecture,v2.4,2026-02-26,L&D,Yes
SKL-1010,Spark,Technical,Core,Developing,Foundational,Increasing,8.74,-4.29,Marketing; Sales,Formal Training,19,Yes,Databricks Certified,Data Engineering; Cybersecurity; DevOps,v2.4,2026-02-18,L&D,Yes
SKL-1011,Kubernetes,Technical,Foundational,Proficient,Advanced,Emerging,5.2,2.29,Engineering,Mentoring,12,Yes,PHR,Data Engineering; Spark; Tableau,v2.4,2026-04-25,People Analytics,No
SKL-1012,TensorFlow,Technical,Emerging,Proficient,Advanced,Stable,8.87,-4.25,Engineering,Stretch Assignment,19,Yes,Google Cloud Prof.,Data Engineering; Machine Learning; DevOps,v2.4,2026-05-05,Talent Management,Yes
SKL-1013,React,Technical,Foundational,Foundational,Developing,Emerging,1.02,-1.1,Marketing; Product; Sales; Data Science,Formal Training,11,Yes,AWS Certified,Power BI; Kubernetes; Tableau,v2.4,2026-01-16,HRBP,Yes
SKL-1014,Java,Technical,Core,Expert,Advanced,Stable,1.51,0.08,Data Science; Legal & Compliance,Stretch Assignment,9,No,Google Cloud Prof.,Power BI; Data Engineering; React,v2.4,2026-06-02,L&D,Yes
SKL-1015,Scala,Technical,Foundational,Expert,Expert,Decreasing,9.41,-2.96,Finance; Marketing; Product,Formal Training,23,No,Databricks Certified,API Development; TensorFlow; SQL,v2.4,2026-01-03,Talent Management,Yes
SKL-1016,R,Technical,Core,Expert,Developing,Decreasing,2.19,-1.51,Finance,Self-Study,11,Yes,Databricks Certified,Power BI; Scala; TensorFlow,v2.4,2026-06-17,L&D,Yes
SKL-1017,Azure,Technical,Core,Developing,Proficient,Increasing,9.01,2.42,Marketing; Legal & Compliance,Certification,8,No,PHR,Tableau; Scala; Cloud Architecture,v2.4,2026-01-14,L&D,No
SKL-1018,AWS,Technical,Specialized,Foundational,Foundational,Decreasing,7.94,1.37,People & HR; Sales; Product,Certification,2,Yes,Google Cloud Prof.,Cloud Architecture; SQL; Kubernetes,v2.4,2026-05-30,People Analytics,No
SKL-1019,GCP,Technical,Emerging,Foundational,Proficient,Decreasing,9.09,2.96,Operations,Formal Training,23,Yes,Google Cloud Prof.,Kubernetes; Azure; React,v2.4,2026-06-08,People Analytics,Yes
SKL-1020,Databricks,Technical,Emerging,Developing,Advanced,Increasing,2.61,4.24,Finance; Marketing; People & HR; Product,Stretch Assignment,5,No,AWS Certified,Scala; Cybersecurity; DevOps,v2.4,2026-04-28,HRBP,Yes
SKL-1021,Snowflake,Technical,Emerging,Developing,Foundational,Stable,4.59,-2.21,Marketing,Self-Study,22,No,Azure Data Engineer,Spark; Python; Data Engineering,v2.4,2026-03-08,People Analytics,Yes
SKL-1022,dbt,Technical,Core,Foundational,Expert,Emerging,4.11,2.86,Legal & Compliance; Customer Experience; Data Science; Finance,Certification,8,No,AWS Certified,React; Python; R,v2.4,2026-05-18,People Analytics,Yes
SKL-1023,Airflow,Technical,Foundational,Foundational,Proficient,Decreasing,6.97,-3.75,Customer Experience; Marketing; Product,Self-Study,14,No,Azure Data Engineer,Cloud Architecture; DevOps; React,v2.4,2026-06-20,Talent Management,Yes
SKL-1024,NLP,Technical,Specialized,Advanced,Expert,Increasing,3.73,-2.9,Sales; Legal & Compliance; Customer Experience,Stretch Assignment,8,No,PMP,Snowflake; Machine Learning; Power BI,v2.4,2026-05-12,HRBP,Yes
SKL-1025,Statistical Modeling,Analytical,Emerging,Proficient,Developing,Stable,2.33,-4.54,Legal & Compliance; Data Science; Sales; Finance,Stretch Assignment,20,Yes,None,Scala; TensorFlow; Cybersecurity,v2.4,2026-02-07,L&D,Yes
SKL-1026,A/B Testing,Analytical,Foundational,Developing,Developing,Emerging,1.45,-2.51,Sales,Formal Training,16,No,Databricks Certified,GCP; Airflow; R,v2.4,2026-04-20,Talent Management,Yes
SKL-1027,Forecasting,Analytical,Foundational,Advanced,Proficient,Stable,8.56,-2.23,Finance; Marketing; Sales; Engineering,Stretch Assignment,11,Yes,CPA,Spark; Azure; Machine Learning,v2.4,2026-02-05,People Analytics,Yes
SKL-1028,Data Visualization,Analytical,Foundational,Developing,Developing,Increasing,4.73,-1.69,Product; Engineering; Finance; Legal & Compliance,Mentoring,14,Yes,None,Scala; Python; Kubernetes,v2.4,2026-03-18,Talent Management,No
SKL-1029,Business Intelligence,Analytical,Emerging,Advanced,Developing,Decreasing,4.92,-4.71,Product; People & HR; Sales,Formal Training,21,Yes,None,AWS; Snowflake; Python,v2.4,2026-01-22,Talent Management,Yes
SKL-1030,Root Cause Analysis,Analytical,Foundational,Developing,Foundational,Decreasing,4.41,-2.88,Operations; Product; Marketing,External Course,15,No,Google Cloud Prof.,Scala; Python; Airflow,v2.4,2026-05-19,L&D,Yes
SKL-1031,Quantitative Research,Analytical,Emerging,Foundational,Foundational,Increasing,9.55,-3.01,Legal & Compliance,Formal Training,9,Yes,Databricks Certified,Snowflake; Data Engineering; AWS,v2.4,2026-02-25,Talent Management,Yes
