response_id,employee_id,survey_type,survey_date,department,job_level,location,engagement_score,wellbeing_score,manager_score,dei_inclusion_score,growth_score,workload_score,eNPS,would_recommend,open_text_theme,sentiment,response_channel
SUR00001,EMP00216,Engagement,2021-04-15,Product,L5,Atlanta,2.57,4.52,2.45,3.69,2.4,2.37,-62,Neutral,Autonomy,Positive,App
SUR00002,EMP00794,Wellbeing,2024-03-26,HR,L3,Dallas,2.35,4.77,3.72,4.03,3.32,3.44,-34,Neutral,Recognition,Negative,Kiosk
SUR00003,EMP00854,Engagement,2025-09-23,Legal,L4,Remote,3.92,1.73,4.46,3.6,4.45,1.27,32,Yes,Recognition,Negative,QR Code
SUR00004,EMP00070,DEI,2025-04-21,Product,L4,Atlanta,2.76,2.5,1.16,3.62,3.28,4.57,4,Yes,Recognition,Positive,QR Code
SUR00005,EMP00960,DEI,2022-01-12,Design,L7,Atlanta,1.28,4.14,1.22,2.75,1.95,2.43,-67,Neutral,Recognition,Positive,App
SUR00006,EMP00067,Exit,2024-01-11,Data Science,L2,Seattle,1.81,1.93,3.74,4.11,1.21,1.57,57,Neutral,Compensation,Neutral,Kiosk
SUR00007,EMP00777,Engagement,2025-06-01,Legal,L7,New York,4.34,4.81,2.51,4.94,2.03,1.91,-100,No,Tools & Technology,Negative,App
SUR00008,EMP00391,Onboarding,2023-06-16,Customer Success,L4,Boston,4.11,3.4,1.36,3.02,1.97,3.86,-88,Yes,Recognition,Neutral,Kiosk
SUR00009,EMP01088,Manager Effectiveness,2024-02-13,Operations,L3,Dallas,2.92,4.79,1.98,1.47,3.31,4.01,33,Yes,Culture,Positive,Kiosk
SUR00010,EMP00717,Onboarding,2026-01-27,Marketing,L5,New York,2.3,4.9,2.64,4.97,4.88,2.46,-93,No,Recognition,Negative,QR Code
SUR00011,EMP01115,Exit,2021-02-26,Data Science,L2,New York,1.91,3.36,1.52,1.49,4.55,4.67,-92,Yes,Tools & Technology,Negative,QR Code
SUR00012,EMP00850,Pulse,2026-05-03,IT,L7,Remote,3.65,3.16,2.89,3.1,2.94,4.68,32,No,Compensation,Negative,Email
SUR00013,EMP00516,Manager Effectiveness,2021-11-19,Finance,L5,Boston,4.19,1.69,4.27,2.9,3.67,2.57,-24,Yes,Recognition,Positive,App
SUR00014,EMP00399,Manager Effectiveness,2022-01-10,Customer Success,L5,Dallas,1.03,1.02,2.3,3.81,1.72,2.95,-14,Neutral,Work-Life Balance,Positive,Email
SUR00015,EMP00302,Wellbeing,2021-11-23,Design,L6,New York,1.33,4.55,2.44,2.47,2.09,2.59,35,No,Management,Negative,Email
SUR00016,EMP00114,Manager Effectiveness,2025-12-24,Finance,L4,Denver,1.53,2.87,3.6,1.07,1.39,1.68,74,Neutral,Autonomy,Neutral,Kiosk
SUR00017,EMP00350,Manager Effectiveness,2021-04-15,HR,L7,Denver,1.22,3.14,4.07,2.17,3.17,4.76,-52,Yes,Career Growth,Negative,Kiosk
SUR00018,EMP01040,Exit,2021-10-18,HR,L6,Dallas,1.86,3.14,3.58,2.7,4.18,4.46,-15,No,Management,Positive,App
SUR00019,EMP00822,Exit,2021-06-04,Finance,L6,Dallas,2.37,3.81,3.48,2.84,1.38,1.18,-73,Neutral,Recognition,Neutral,QR Code
SUR00020,EMP00271,Engagement,2024-06-18,Marketing,L3,San Francisco,3.29,1.18,4.39,1.62,3.9,2.41,-40,Yes,Management,Negative,QR Code
SUR00021,EMP00008,Manager Effectiveness,2022-07-05,IT,L6,Chicago,4.02,3.34,3.02,3.37,1.41,3.14,61,No,Tools & Technology,Positive,Email
SUR00022,EMP00880,Manager Effectiveness,2022-03-09,IT,L6,Atlanta,1.33,3.41,4.89,4.62,2.87,4.32,17,No,Work-Life Balance,Neutral,App
SUR00023,EMP00613,DEI,2025-07-19,Product,L7,Chicago,3.33,1.63,1.52,3.41,3.07,3.18,77,Yes,Management,Neutral,QR Code
SUR00024,EMP00921,Pulse,2025-04-05,Data Science,L4,Atlanta,2.92,4.53,2.03,1.77,2.22,3.52,-13,No,Autonomy,Negative,QR Code
SUR00025,EMP00338,DEI,2026-06-19,Legal,L3,Atlanta,1.44,4.62,4.01,4.41,1.89,3.07,73,Neutral,Career Growth,Positive,Email
SUR00026,EMP00464,Onboarding,2026-03-16,Customer Success,L6,New York,3.56,1.5,2.88,4.46,4.84,3.51,84,Yes,Culture,Positive,Email
SUR00027,EMP00859,Wellbeing,2022-12-27,Product,L2,Atlanta,2.66,2.15,1.67,2.53,4.12,3.78,-65,Yes,Tools & Technology,Neutral,App
SUR00028,EMP00068,Pulse,2023-04-25,IT,L2,New York,3.38,1.34,4.83,4.69,3.52,1.23,-75,Neutral,Tools & Technology,Positive,QR Code
SUR00029,EMP00496,Engagement,2026-04-18,Design,L1,Atlanta,1.74,1.73,2.24,1.26,2.97,4.47,7,Neutral,Career Growth,Positive,Email
SUR00030,EMP01069,Onboarding,2021-09-15,IT,L7,Chicago,1.87,2.32,3.11,3.95,2.79,2.22,-60,Neutral,Compensation,Negative,Kiosk
SUR00031,EMP00855,Wellbeing,2023-05-01,Design,L4,Atlanta,4.19,1.33,2.41,4.45,1.08,1.68,10,Yes,Culture,Neutral,App
SUR00032,EMP00825,Onboarding,2021-01-22,Engineering,L6,Chicago,1.57,3.25,3.3,3.81,3.54,2.73,16,No,Work-Life Balance,Negative,Kiosk
SUR00033,EMP00617,Pulse,2023-07-14,Customer Success,L4,Chicago,4.37,3.82,2.27,3.63,1.21,4.68,-55,Neutral,Compensation,Positive,QR Code
SUR00034,EMP01010,DEI,2021-10-22,Design,L6,New York,3.94,2.77,2.45,4.45,4.78,1.9,-50,No,Compensation,Negative,QR Code
SUR00035,EMP00040,Onboarding,2022-10-17,HR,L6,Remote,4.46,4.16,3.76,1.7,2.88,3.78,-15,No,Compensation,Positive,Email
SUR00036,EMP00454,Pulse,2021-02-10,Product,L2,Seattle,2.36,3.52,4.35,1.83,1.72,1.92,-21,Yes,Management,Positive,Kiosk
SUR00037,EMP00975,Onboarding,2021-02-14,Data Science,L5,Dallas,2.5,3.86,2.83,1.22,1.92,1.18,-82,No,Career Growth,Positive,App
SUR00038,EMP00271,Onboarding,2021-07-16,Engineering,L4,San Francisco,2.46,2.43,3.14,2.99,4.22,4.82,-32,Neutral,Career Growth,Neutral,App
SUR00039,EMP00312,Wellbeing,2025-08-02,Data Science,L6,Seattle,4.79,2.57,1.28,3.37,1.63,4.25,-78,Yes,Tools & Technology,Positive,Email
SUR00040,EMP00996,Manager Effectiveness,2023-11-25,Sales,L5,San Francisco,4.38,4.29,3.93,4.54,4.61,2.4,90,Yes,Culture,Negative,Kiosk
SUR00041,EMP00141,DEI,2024-12-31,Product,L1,Boston,3.77,4.43,2.26,2.98,1.49,4.73,10,Yes,Management,Negative,App
SUR00042,EMP00569,Exit,2022-05-19,Engineering,L7,Denver,1.48,2.64,4.38,1.3,3.68,3.15,-7,Neutral,Recognition,Positive,Kiosk
SUR00043,EMP00270,Engagement,2025-11-25,Engineering,L4,Denver,4.76,2.25,2.16,1.22,3.43,3.64,28,No,Recognition,Negative,QR Code
SUR00044,EMP00944,Engagement,2022-09-19,HR,L6,Chicago,3.77,2.69,4.65,3.02,3.98,3.37,-73,Yes,Work-Life Balance,Neutral,QR Code
SUR00045,EMP00197,Manager Effectiveness,2021-04-13,Design,L2,Remote,1.6,4.32,3.1,3.23,3.15,1.83,-29,No,Work-Life Balance,Neutral,App
SUR00046,EMP01137,DEI,2021-08-22,Legal,L5,Atlanta,3.83,3.94,1.35,4.27,2.41,2.68,52,Yes,Tools & Technology,Negative,Email
SUR00047,EMP00782,Onboarding,2026-07-28,Legal,L7,Dallas,3.15,1.64,2.91,3.1,1.05,4.8,82,No,Management,Positive,Email
SUR00048,EMP00595,Exit,2021-11-13,Data Science,L2,Atlanta,1.84,2.68,1.07,3.06,3.91,3.85,-93,Neutral,Compensation,Positive,QR Code
SUR00049,EMP00909,DEI,2025-04-06,IT,L5,Remote,2.48,3.57,2.39,2.14,3.19,2.65,-80,No,Recognition,Neutral,Kiosk
SUR00050,EMP01156,Engagement,2026-04-17,Legal,L4,Dallas,3.06,2.67,2.49,4.47,2.35,2.97,-75,Yes,Recognition,Neutral,Kiosk
SUR00051,EMP00883,Engagement,2022-12-21,Data Science,L5,Boston,4.28,1.83,2.21,4.7,1.36,1.2,60,Neutral,Autonomy,Positive,App
SUR00052,EMP00034,Wellbeing,2021-03-08,Marketing,L3,Dallas,4.34,2.38,2.33,4.16,1.96,2.88,22,No,Compensation,Positive,App
SUR00053,EMP00204,Exit,2023-10-12,Design,L5,Atlanta,1.43,4.13,4.36,1.43,2.13,2.92,-61,Yes,Work-Life Balance,Positive,Kiosk
SUR00054,EMP00118,Pulse,2026-05-08,Operations,L7,Seattle,2.35,1.1,1.23,2.37,3.36,1.13,90,Neutral,Career Growth,Negative,App
SUR00055,EMP01164,Manager Effectiveness,2023-10-13,Legal,L6,Atlanta,1.95,3.04,1.54,2.51,2.57,1.05,97,No,Compensation,Negative,App
SUR00056,EMP00122,Engagement,2021-03-03,IT,L1,Seattle,1.89,1.63,2.23,4.75,4.94,2.97,82,No,Work-Life Balance,Neutral,QR Code
SUR00057,EMP00644,Onboarding,2023-04-27,Legal,L2,Dallas,3.48,3.77,2.44,3.09,4.19,1.63,-14,Yes,Autonomy,Neutral,QR Code
SUR00058,EMP00115,Engagement,2021-12-06,Marketing,L2,New York,1.52,4.59,2.15,2.49,3.97,2.81,-74,Yes,Tools & Technology,Positive,Kiosk
SUR00059,EMP01063,DEI,2025-02-17,Engineering,L7,Seattle,1.41,3.07,3.52,4.09,3.03,4.63,-14,Yes,Recognition,Neutral,QR Code
SUR00060,EMP00089,Wellbeing,2024-01-16,Sales,L7,Austin,1.87,1.51,3.11,2.18,2.1,3.54,-92,Neutral,Recognition,Positive,QR Code
SUR00061,EMP00170,Onboarding,2021-10-15,Product,L4,Remote,2.29,3.21,4.25,4.43,2.21,1.62,-63,Yes,Culture,Negative,App
SUR00062,EMP00515,DEI,2024-01-20,Legal,L2,San Francisco,1.98,2.85,2.85,2.2,1.17,4.77,-72,Neutral,Career Growth,Negative,App
SUR00063,EMP00779,Wellbeing,2023-02-19,Data Science,L5,San Francisco,4.68,4.15,3.42,1.99,3.3,1.03,-79,Yes,Culture,Neutral,Email
SUR00064,EMP01027,DEI,2025-09-03,Design,L1,San Francisco,4.26,4.22,3.46,3.93,4.39,2.51,68,Neutral,Management,Neutral,QR Code
SUR00065,EMP00839,DEI,2024-02-05,Data Science,L7,Chicago,2.16,4.88,1.88,1.31,1.37,4.02,32,Yes,Work-Life Balance,Negative,Email
SUR00066,EMP00640,Engagement,2026-04-28,Operations,L1,Chicago,1.63,3.54,2.78,3.35,1.01,2.25,-91,Neutral,Tools & Technology,Neutral,Email
SUR00067,EMP01173,Wellbeing,2022-07-17,Engineering,L7,Denver,2.81,2.18,4.27,2.84,1.85,1.09,-74,No,Tools & Technology,Neutral,Kiosk
SUR00068,EMP00645,Exit,2021-09-14,Marketing,L4,Boston,3.65,2.89,2.08,1.22,3.9,1.11,-46,No,Culture,Neutral,QR Code
SUR00069,EMP00008,DEI,2026-04-15,HR,L2,Remote,1.43,1.92,3.99,5.0,2.16,1.74,61,No,Culture,Positive,Email
SUR00070,EMP00790,Engagement,2022-04-05,Marketing,L4,Atlanta,2.4,4.76,3.81,3.23,2.39,4.7,1,Yes,Work-Life Balance,Negative,Email
SUR00071,EMP00167,Engagement,2023-12-30,IT,L4,Boston,2.18,4.15,1.66,1.9,1.15,4.72,-95,Yes,Culture,Neutral,Kiosk
SUR00072,EMP01068,Exit,2023-08-09,IT,L3,Dallas,2.51,3.54,3.34,3.08,2.09,2.01,-83,No,Career Growth,Negative,App
SUR00073,EMP00831,Manager Effectiveness,2021-08-07,Engineering,L1,Atlanta,4.19,1.02,1.29,2.95,4.82,4.45,67,No,Tools & Technology,Negative,Kiosk
SUR00074,EMP00405,Manager Effectiveness,2022-02-18,Engineering,L4,Dallas,1.41,4.73,1.3,1.43,3.81,2.69,-87,Yes,Culture,Negative,Email
SUR00075,EMP00349,Engagement,2022-07-03,Finance,L3,San Francisco,4.78,4.24,2.34,3.37,2.79,1.91,-41,Neutral,Culture,Negative,QR Code
SUR00076,EMP00702,Onboarding,2026-04-10,Marketing,L2,Remote,4.94,2.92,3.72,4.27,3.91,2.44,-100,Yes,Culture,Negative,App
SUR00077,EMP00788,Wellbeing,2023-04-08,Operations,L2,Denver,3.87,4.83,3.45,3.59,2.83,1.42,16,Yes,Culture,Neutral,App
