learning_id,employee_id,department,job_level,course_name,course_category,provider,start_date,completion_date,status,score_pct,hours_spent,certification_earned,mandatory,mode,rating_by_learner,manager_id
LRN00001,EMP00637,Sales,L1,Cloud Fundamentals,Technical,Internal LMS,2022-07-23,2022-10-28,Completed,90,15.5,No,Yes,Online Self-Paced,2.4,MGR0040
LRN00002,EMP00329,Customer Success,L1,Leadership Foundations,Compliance,Pluralsight,2023-07-14,2023-10-11,Dropped,71,2.0,Yes,No,Virtual Instructor-Led,4.6,MGR0029
LRN00003,EMP00747,Engineering,L3,Cloud Fundamentals,Soft Skills,Custom,2025-07-29,2025-11-13,In Progress,57,34.9,No,Yes,Online Self-Paced,3.6,MGR0039
LRN00004,EMP00190,Engineering,L1,Machine Learning Basics,Domain,Custom,2025-02-14,2025-04-18,Not Started,64,1.1,No,No,Blended,1.9,MGR0049
LRN00005,EMP00769,Operations,L4,DEI in the Workplace,Compliance,Coursera,2022-01-29,2022-04-26,Dropped,90,8.0,Yes,Yes,Blended,4.5,MGR0011
LRN00006,EMP00912,Legal,L6,Power BI Essentials,Technical,LinkedIn Learning,2024-03-17,2024-05-25,In Progress,55,30.0,No,No,Virtual Instructor-Led,4.4,MGR0033
LRN00007,EMP00161,Finance,L1,Agile & Scrum Certification,Leadership,Udemy,2024-09-01,2024-11-07,In Progress,87,9.2,No,No,Blended,4.6,MGR0019
LRN00008,EMP01037,Design,L2,Design Thinking,Domain,Custom,2023-02-12,2023-03-22,Dropped,81,12.4,No,No,In-Person,4.5,MGR0023
LRN00009,EMP00583,Data Science,L4,Agile & Scrum Certification,Leadership,Pluralsight,2024-12-26,2025-04-09,Not Started,81,35.1,No,No,Virtual Instructor-Led,3.6,MGR0022
LRN00010,EMP00939,IT,L5,DEI in the Workplace,Domain,Coursera,2026-07-31,2026-07-31,Not Started,71,14.1,No,Yes,In-Person,1.6,MGR0002
LRN00011,EMP00231,Finance,L6,DEI in the Workplace,Domain,Udemy,2022-01-20,2022-03-06,Completed,98,33.3,No,No,In-Person,4.2,MGR0024
