requisition_id,candidate_id,department,job_title,job_level,location,source,applied_date,stage,days_to_hire,offer_extended,offer_accepted,offer_amount,diversity_flag,campus_hire,hired,rejection_reason,recruiter_id,hiring_manager_id,interview_rounds,cost_per_hire
REQ00001,CAND00001,HR,Engineer,L4,Denver,LinkedIn,2023-12-03,Withdrawn,109,No,Yes,130238,No,Yes,No,Overqualified,REC18,MGR0024,1,14703
REQ00002,CAND00002,IT,Director,L5,Atlanta,Glassdoor,2023-04-18,Hired,79,No,No,150142,Yes,Yes,No,None,REC08,MGR0019,5,12436
REQ00003,CAND00003,Design,Analyst,L6,Denver,Internal Transfer,2022-03-20,Offer,51,Yes,Pending,104594,Yes,Yes,No,Culture Fit,REC17,MGR0050,5,8921
REQ00004,CAND00004,IT,Manager,L4,Chicago,Internal Transfer,2022-01-18,Rejected,39,No,No,188948,Yes,Yes,No,Withdrew,REC06,MGR0012,2,2058
REQ00005,CAND00005,Marketing,Analyst,L1,Austin,Agency,2022-12-15,Technical Assessment,44,Yes,No,118427,No,No,Yes,None,REC15,MGR0009,1,14343
REQ00006,CAND00006,Design,Analyst,L2,Boston,Direct Application,2020-10-25,Hired,112,No,Pending,142530,No,Yes,Yes,Culture Fit,REC20,MGR0013,6,6254
REQ00007,CAND00007,Engineering,Analyst,L5,Chicago,Direct Application,2022-09-09,Technical Assessment,37,No,Pending,177704,No,No,No,Failed Assessment,REC20,MGR0049,4,13304
REQ00008,CAND00008,Design,Associate,L4,San Francisco,Indeed,2025-07-11,Rejected,116,No,No,79590,No,Yes,No,Position Closed,REC04,MGR0001,1,13639
REQ00009,CAND00009,Legal,Engineer,L1,New York,Campus Recruiting,2026-06-15,Screening,75,Yes,Pending,113157,No,No,Yes,Overqualified,REC14,MGR0025,4,1927
REQ00010,CAND00010,Marketing,Associate,L1,San Francisco,Employee Referral,2020-01-29,Rejected,44,No,Yes,182361,Yes,No,No,Withdrew,REC08,MGR0005,1,2234
REQ00011,CAND00011,Design,Analyst,L4,New York,LinkedIn,2020-11-19,Technical Assessment,10,No,Pending,174125,Yes,No,Yes,Withdrew,REC04,MGR0012,3,5867
REQ00012,CAND00012,Operations,Analyst,L5,Boston,Employee Referral,2024-02-13,Technical Assessment,110,Yes,Yes,84927,No,No,No,Overqualified,REC20,MGR0035,1,2485
REQ00013,CAND00013,Data Science,Associate,L6,New York,Agency,2025-05-13,Hired,82,No,Pending,59713,No,No,No,None,REC18,MGR0050,5,4998
REQ00014,CAND00014,Sales,Manager,L6,Chicago,Agency,2025-07-07,Screening,32,Yes,Yes,123025,No,Yes,No,Failed Assessment,REC06,MGR0048,5,5566
REQ00015,CAND00015,Legal,Manager,L4,Dallas,Agency,2022-06-25,Withdrawn,107,No,Pending,176566,No,No,Yes,Overqualified,REC05,MGR0029,5,10590
REQ00016,CAND00016,Sales,Director,L6,Seattle,Agency,2021-02-01,Hired,23,No,Yes,93138,Yes,No,No,Overqualified,REC09,MGR0033,2,13212
REQ00017,CAND00017,Operations,Senior Engineer,L6,Atlanta,Direct Application,2023-07-02,Withdrawn,26,No,No,67667,Yes,Yes,Yes,Salary Mismatch,REC14,MGR0003,4,8289
REQ00018,CAND00018,Sales,Engineer,L7,Seattle,Glassdoor,2026-04-22,Technical Assessment,88,No,Pending,165561,No,No,No,None,REC12,MGR0001,3,5376
REQ00019,CAND00019,Legal,Director,L3,Seattle,Agency,2025-08-09,Technical Assessment,20,Yes,Pending,159358,No,Yes,Yes,Withdrew,REC06,MGR0044,4,12769
REQ00020,CAND00020,Finance,Senior Engineer,L2,Chicago,Internal Transfer,2026-04-20,Panel Interview,15,No,Pending,73695,No,Yes,No,Salary Mismatch,REC16,MGR0042,2,3062
REQ00021,CAND00021,Customer Success,Senior Analyst,L4,San Francisco,Glassdoor,2021-08-22,Withdrawn,24,No,Yes,54197,Yes,Yes,No,Withdrew,REC08,MGR0044,3,12327
REQ00022,CAND00022,HR,Director,L2,Atlanta,Agency,2020-01-22,Hired,29,No,Yes,83586,No,Yes,No,Culture Fit,REC05,MGR0028,4,4727
REQ00023,CAND00023,Marketing,Associate,L6,New York,Indeed,2023-09-15,Hired,96,Yes,No,141224,Yes,No,No,Culture Fit,REC03,MGR0050,1,7659
REQ00024,CAND00024,Sales,Senior Engineer,L7,Austin,Campus Recruiting,2020-04-14,Applied,107,Yes,No,64267,Yes,No,Yes,Failed Assessment,REC05,MGR0031,5,2320
REQ00025,CAND00025,Design,Director,L6,Boston,Campus Recruiting,2023-12-03,Withdrawn,70,No,Pending,143024,Yes,Yes,Yes,Position Closed,REC19,MGR0014,1,10574
REQ00026,CAND00026,Customer Success,Engineer,L4,Chicago,Agency,2022-07-13,Offer,33,Yes,Yes,109707,Yes,No,No,Position Closed,REC14,MGR0012,4,8807
REQ00027,CAND00027,Engineering,Senior Analyst,L7,Dallas,Agency,2023-11-20,Applied,45,No,Pending,149903,Yes,Yes,Yes,Overqualified,REC13,MGR0043,2,2921
REQ00028,CAND00028,Engineering,Analyst,L3,Austin,Employee Referral,2020-08-27,Withdrawn,90,Yes,Pending,151508,Yes,No,Yes,Culture Fit,REC04,MGR0012,3,7368
REQ00029,CAND00029,Sales,Manager,L2,New York,Direct Application,2024-05-24,Phone Interview,24,No,Yes,90479,No,Yes,No,Salary Mismatch,REC05,MGR0007,4,14050
REQ00030,CAND00030,Data Science,Analyst,L3,Austin,Indeed,2021-04-10,Technical Assessment,25,Yes,Pending,126930,Yes,No,No,None,REC06,MGR0030,4,6659
REQ00031,CAND00031,Design,Senior Engineer,L3,Remote,Indeed,2024-01-01,Offer,41,Yes,No,93078,No,No,No,None,REC15,MGR0023,5,5798
REQ00032,CAND00032,Legal,Senior Analyst,L3,Remote,Indeed,2025-04-16,Withdrawn,89,No,Pending,77704,No,No,Yes,Failed Assessment,REC18,MGR0044,2,8968
REQ00033,CAND00033,Product,Analyst,L2,Denver,Indeed,2021-05-20,Panel Interview,50,No,Yes,89187,No,Yes,Yes,Withdrew,REC15,MGR0009,1,9494
